ID,FIELD 04 - Exhibition Archives,Timestamp,General Institution / Organisation Information,Name of the Institution / Organisation,Country,City,Type,Field of Activity,Year the Exhibition was prepared,Year the Exhibition was held,Links,Principal Partner,Interested Partner,Links - for partners only,"FIELD 04 - Description of the exhibition archive of your institution
",Does your institution preserve documentation related to past exhibitions?,Documentation period,Reason for no documentation,Type of preserved documents,"What is the department or area, in your institution, in charge of gathering and preserving this archive?","Please, indicate the name and e-mail address of the person in charge of your exhibition archive:",What is the name by which you refer to this group of documents?," Please, describe in a few lines the contents, aims and status of your exhibition archive: ","How many people from your staff work in the preservation of your exhibition archive? Please, if this is not a full time task, indicate the percentage of hours that the persons in charge devote to this archive, in relation to their full time dedication",What period of time does your exhibition archive encompass?,What are the main parameters that define the structure you are giving to your exhibition archive:,"Have you developed a classification chart that describes the structure of your exhibition archive? If so, is it available for our consultation?","Have you developed any of these, in relation to your exhibition archive?","If so, are they available for our consultation?",What norm or standard set of rules do you use for the description of your exhibition archive? I.e. RAD – Rules for Archival Description,"Please, indicate the approximate number of linear meters of shelves that your exhibition archive comprises:","Please, indicate what database you use for the description of records belonging to your exhibition archive, i.e. FileMaker Pro.","Please, indicate the current number of records in this database","Always in relation to the exhibition archive of your institution, please indicate the approximate number of records, and / or the approximate percentage in relation to the total number of records, that are available online:","As well as the approximate number of records, and / or the approximate percentage in relation to the total number of records, that have been digitized:","Please, indicate by order of importance which of these processes you would like to develop first, if you would have enough resources: ","And finally, please leave any comment you may deem relevant in relation to your exhibition archive, which may help us understand better the scope and status of your exhibition archive, as well as wishes, aims etc. that are outside of the frame of our questions below. "
1338380516470.62,,Wed May 30 14:21:56 UTC+0200 2012,,La Casa Encendida,Spain,Madrid,Cultural Institution,Art|Other:,,,,MACBA,MACBA,,,YES,2002,,"Letters, e-mails or other forms of correspondence|Photographs of the exhibition as installed|Video recordings of the exhibition as installed|Press release materials (texts, photos, videos handed to the press)|Media clippings related to each exhibition|Final list of works or items exhibited in each show|Drafts of work- or item- lists to be exhibited|Exhibition plans \""as built\""|Non-final versions of exhibition plans|Dissemination materials, printed or other: brochures, posters, invitation cards, video or tv advertisements, commercial radio slots, etc.|Book or catalogue issued on occasion of each exhibition|Draft materials for book or catalogue, i.e. non-final versions of texts, non-final versions of book layout, etc.|Condition reports of works or items exhibited, issued by Restauration experts|Insurance files related to each exhibition|Transport files related to each exhibition|Hanging files related to each exhibition|Documents related to the educational activities programmed on occasion of each show|Records of visitors’ attendance to each show|Administrative documents, such as invoices, insurance certificates, contracts, etc.",Other:,,,,,,,,,,,,,,,,,
1338475414029.44,,Thu May 31 16:43:34 UTC+0200 2012,,ModeMuseum Provincie Antwerpen,Belgium,Antwerpen,,,,,,MACBA,MACBA,,,YES,2002,,"Letters, e-mails or other forms of correspondence|Photographs of the exhibition as installed|Video recordings of the exhibition as installed|Photographs of installation process|Video recordings of installation process|Press release materials (texts, photos, videos handed to the press)|Media clippings related to each exhibition|Final list of works or items exhibited in each show|Drafts of work- or item- lists to be exhibited|Dissemination materials, printed or other: brochures, posters, invitation cards, video or tv advertisements, commercial radio slots, etc.|Book or catalogue issued on occasion of each exhibition|Condition reports of works or items exhibited, issued by Restauration experts|Records of visitors’ attendance to each show",Library,dieter.suls@momu.be,Exhibition records,Materials related to exhibitions are collected and stored in specific boxes  in the library and/or reported in our collection management system (The Museum System),"Mainly one person in the library staff manages the archive. It is not a full time job, but rather something that is handled as soon as an exhibition is mounted and/or dismantled.",2002 until now,Format and conservation (texts / analogical photographs / plans / digital photographs / …),,,,-,10 l.m.,The Museum Systems,20,1000,1000,,
1338841330800.34,,Mon Jun 04 2012 16:22:10 GMT-0400 (CLT),,CRAC Valparaiso,Chile,Valparaiso,Archive|Cultural Institution|artist residences,"Art|architecture, artivism",2007,2007,www.cracvalparaiso.org,MACBA,MACBA,,,YES,2007,,"Letters, e-mails or other forms of correspondence|Photographs of the exhibition as installed|Video recordings of the exhibition as installed|Photographs of installation process|Video recordings of installation process|Press release materials (texts, photos, videos handed to the press)|Media clippings related to each exhibition|Final list of works or items exhibited in each show|Drafts of work- or item- lists to be exhibited|Exhibition plans \""as built\""|Non-final versions of exhibition plans|Dissemination materials, printed or other: brochures, posters, invitation cards, video or tv advertisements, commercial radio slots, etc.|Book or catalogue issued on occasion of each exhibition|Draft materials for book or catalogue, i.e. non-final versions of texts, non-final versions of book layout, etc.|Documents related to the educational activities programmed on occasion of each show|Administrative documents, such as invoices, insurance certificates, contracts, etc.",Archive,Paulina Varas pvaras@cracvalparaiso.org,Archivo Contenedor (container archive),"The project Container Archive is a community initiative promoted from Valparaiso to activate the CRAC´s materials then we have been collecting and receiving over the years. Our collection has taken shape based on donations from some people and institutions and also by our drift to different cities.
Residences Archive: This is a file that has been built on the residences of artists and researchers who have developed a work process in CRAC. Our idea is to offer a systematic archive on the methodologies and modes of doing, CRAC residents to provide strategies for reflection and action on the contemporary city. This is a file that exhibits and distributes pedagogies done from to understand the processual space and residential and collaborative research.

Archive of Independent Spaces: This is a set of documents which show ways to link knowledge production and many ways to understand management, self management and cultural sustainability economy of these areas. From the analysis of their various work programs and publishing projects proposals emerge exhibitions, artist residencies, workshops, seminars, film, publishing projects, seminars, meetings, conversations, etc.

The core of this archive part is to identify and present the work´s methodologies based on xperience, management, self management and cultural sustainability economy of independent art spaces in various cities in Latin America and other geographies.

General Archive: From various agreements with institutions, universities, museums and art centers, the cabinet, regularly receives a number of publications available to the public. These publications address issues of contemporary art, public sphere, city and territory. In this section, we have books, catalogs, magazines, posters, CDs, DVDs, among others.",three people. two work 10 hours a week. one works 20 hours a week,2007 to the present,we are defining the structure according to the material we archived,,Finding aid|Inventory|Index,"yes, 
we have available a preliminary procedural manual of our collection",,20 meters,,,,,Dissemination online of contents of the exhibition archive,"Our archive is oriented to research and dissemination of content in our city have no other place of collection.
We are interested in testing new ways of activating our archive for people interested. Also we are interested in our file is going to define each day and is not a rigid structure but it a flexible body according to the material to be archived."
1338863149340.11,,Mon Jun 04 2012 22:25:49 GMT-0400 (EDT),,"ATHICA: Athens Institute for Contemporary Art, Inc.",United States of America,Athens,Cultural Institution,Art,2002,,www.athica.org,MACBA,MACBA,,,YES,2002,,"Letters, e-mails or other forms of correspondence|Photographs of the exhibition as installed|Video recordings of the exhibition as installed|Photographs of installation process|Video recordings of installation process|Press release materials (texts, photos, videos handed to the press)|Media clippings related to each exhibition|Final list of works or items exhibited in each show|Dissemination materials, printed or other: brochures, posters, invitation cards, video or tv advertisements, commercial radio slots, etc.|Book or catalogue issued on occasion of each exhibition|Draft materials for book or catalogue, i.e. non-final versions of texts, non-final versions of book layout, etc.|Insurance files related to each exhibition|Transport files related to each exhibition|Documents related to the educational activities programmed on occasion of each show|Records of visitors’ attendance to each show|Administrative documents, such as invoices, insurance certificates, contracts, etc.",Interns and sole employee,"
Lizzie Zucker Saltz, Founding Director & Katherine McQueen, Board President and various rotating interns and volunteers under the supervisison of the former",Institutional archive,"Online privately and online public archives are maintained as we go, and in paper files, we save print material;s that are generated. While by no mans exhaustive or complete for all 45 exhibits, it is more thorough than many small sized institutions, especially the public archives.","10-20 hours a month training and supervision, 10-30 hours a month by volunteers. ",April 2002 to the present,Exhibition title,online archives quite self-explanatory so no need.,,n/a,n/a,12\',custom website structure,"45 exhibits, within which each houses 12-25 pages and fields of data with thousands of data files associated with each exhbit/",75%,100%,"Digitization of analogical records, and improvement of preservation policies (refreshing)","We hope the html and PDF formats will be accessible as art historical records for posterity and future art historians, but worry technologies may render al our hard work obsolete in the rapidly changing tech landscape."
1339015849914.13,,Wed Jun 06 2012 16:50:49 GMT-0400 (EDT),,Open Studio,Canada,Toronto,Archive|Cultural Institution|Exhibition,Art,1970,,www.openstudio.on.ca,MACBA,MACBA,,,YES,since the 1980s intermittently. Fully from 2005 forward.,,"Letters, e-mails or other forms of correspondence|Photographs of the exhibition as installed|Photographs of installation process|Press release materials (texts, photos, videos handed to the press)|Media clippings related to each exhibition|Final list of works or items exhibited in each show|Dissemination materials, printed or other: brochures, posters, invitation cards, video or tv advertisements, commercial radio slots, etc.|Book or catalogue issued on occasion of each exhibition|Documents related to the educational activities programmed on occasion of each show|Records of visitors’ attendance to each show|Administrative documents, such as invoices, insurance certificates, contracts, etc.",Administration,"Jennifer Bhogal
jennifer@openstudio.on.ca
Director",Exhibition records,,,answered above,,No,,,n/a,3,n/a,n/a,0,only digital photos,Dissemination online of contents of the exhibition archive,
1339053881624.9,,Thu Jun 07 2012 09:24:41 GMT+0200 (Hora de verano romance),,"MUSAC, Museo de Arte Contemporáneo de Castilla y León",Spain,Leon,Museum,Art,2005,2005,"- MUSAC: http://www.musac.es

- ADACYL, Archivo de Artistas de Castilla y León (http://www.musac.es/adacyl)
- RADAR, Revista de Arte y Pensamiento (http://www.musac.es/radar)_revista
- Primerproforma2010 (http://www.primerproforma2010.org)_exposición
- Toda Práctica es Local (http://www.todapracticaeslocal.com)_jornadas de trabajo
- Encuentro de Software Libre Arte y Mujer (http://www.musac.es/encuentrosoft) _seminario
",MACBA,MACBA,,,YES,2005,,"Letters, e-mails or other forms of correspondence|Photographs of the exhibition as installed|Photographs of installation process|Press release materials (texts, photos, videos handed to the press)|Media clippings related to each exhibition|Final list of works or items exhibited in each show|Dissemination materials, printed or other: brochures, posters, invitation cards, video or tv advertisements, commercial radio slots, etc.|Book or catalogue issued on occasion of each exhibition|Draft materials for book or catalogue, i.e. non-final versions of texts, non-final versions of book layout, etc.|Condition reports of works or items exhibited, issued by Restauration experts|Insurance files related to each exhibition|Transport files related to each exhibition|Documents related to the educational activities programmed on occasion of each show|Records of visitors’ attendance to each show|Administrative documents, such as invoices, insurance certificates, contracts, etc.",Administration,"Araceli Corbo García. Responsable de la Biblioteca-Centro de Documentación. araceli@musac.es

Izaskun Sebastián. Prensa y Comunicación. izaskun@musac.es

Kristine Guzmán. Coordinadora General. kristine@musac.es
",Institutional archive,"Material: Photographs of the exhibition, Videos of the exhibition, Dissemination materials, printed or other: brochures, posters, invitation cards, video or tv advertisements, commercial radio slots, etc., Operation of the museum, Catalogue of exhibition, Press Release, Activity file, Activity Results.
Objetives: Get together all the material generated in the development and activity of the museum.
It\'s all saved, but not well cataloged.",Could say that two hours a day two persons.,2005-,"Source or producer (dept, etc.)",No,Only save & web,Some of this information can be found on our website (www.musac.es) since 2008,,,web,,,Many are born digital,Dissemination online of contents of the exhibition archive,"Although we keep all this material cited and much of it is uploaded on the website (such as videos and photographs of the exhibition), we do not maintain a classification and cataloging as if it were a file by the dispersion in departments and resources"
1339081325482.82,,Thu Jun 7 17:02:05 UTC+0200 2012,,Casino Luxembourg- Forum d’art contemporain,Luxembourg,Luxembourg,Exhibition,Art,1995,,www.casino-luxembourg.lu,MACBA,MACBA,,,YES,1995,,"Photographs of the exhibition as installed|Video recordings of the exhibition as installed|Photographs of installation process|Press release materials (texts, photos, videos handed to the press)|Media clippings related to each exhibition|Final list of works or items exhibited in each show|Dissemination materials, printed or other: brochures, posters, invitation cards, video or tv advertisements, commercial radio slots, etc.|Book or catalogue issued on occasion of each exhibition|Documents related to the educational activities programmed on occasion of each show|Records of visitors’ attendance to each show",Other:,"Bettina Heldenstein
Brigitte Reuter
",Other:,"Documentation center with a contemporary art library (mainly international contemporary artists’ monographies, but also magazines, thematic catalogues, theory)
Documentation related to our exhibitions for the visitors, our staff, journalists, guids, teachers, research etc.
Catalogues of our temporary exhbitions (only traces left after the exhibitions)
International Contemporary Artists’ archive (portfolios, multimedia archive: Interviews, films and Photos)
Archive of all our activities, exhibitions, mainly, but also cutural programm
","3 persons (1 full time, 1 70% and 1 halftime)",1995 -2012,"Source or producer (dept, etc.)",NO,Finding aid|On line catalogue or database,,,,,,,,"Dissemination online of contents of the exhibition archive|Digitization of analogical records, and improvement of preservation policies (refreshing)",
1339082359153.39,,Thu Jun 7 11:19:19 EDT 2012,,New Museum,United States of America,New York,Cultural Institution,Art,1977,,"http://archive.newmuseum.org
http://newmuseum.org",MACBA,MACBA,,,YES,1977,,"Letters, e-mails or other forms of correspondence|Photographs of the exhibition as installed|Video recordings of the exhibition as installed|Photographs of installation process|Press release materials (texts, photos, videos handed to the press)|Media clippings related to each exhibition|Final list of works or items exhibited in each show|Drafts of work- or item- lists to be exhibited|Exhibition plans \""as built\""|Non-final versions of exhibition plans|Dissemination materials, printed or other: brochures, posters, invitation cards, video or tv advertisements, commercial radio slots, etc.|Book or catalogue issued on occasion of each exhibition|Draft materials for book or catalogue, i.e. non-final versions of texts, non-final versions of book layout, etc.|Condition reports of works or items exhibited, issued by Restauration experts|Insurance files related to each exhibition|Transport files related to each exhibition|Hanging files related to each exhibition|Documents related to the educational activities programmed on occasion of each show|Administrative documents, such as invoices, insurance certificates, contracts, etc.",Archive and Registrar,"Tara Hart
thart@newmuseum.org",Museum records,"The archives of the New Museum document the institution’s operations and activities.  Primary and secondary sources include exhibition files, catalogues, slides, digital images and prints, video and audio recordings of public programs and performances, artist files, and artwork.  

The museum\'s exhibition records are currently in process.  Select documentation from the physical archive is being digitized and posted online through the museum\'s digital archive at http://archive.newmuseum.org","One archivist, working full time.
One research fellow, working full time and splitting their time between current curatorial research and institutional history.",1977-present,"Source or producer (dept, etc.)",No,Finding aid|Inventory|On line catalogue or database,"Yes,

our online archive is available here:
http://archive.newmuseum.org

Finding aids are available, although our physical archive is not currently open for public use.","DACS, Dublin Core",220 (linear ft),excel/Collective Access,Collective access: 13537,10%?,100%,"Dissemination online of contents of the exhibition archive|Digitization of analogical records, and improvement of preservation policies (refreshing)|Inclusion in the exhibition archive of internal documents related to the process of production",
1339158780654.3,,Fri Jun 08 2012 13:33:00 GMT+0100 (BST),,Scotland\'s Centre for Photography,United Kingdom,Edinburgh,Cultural Institution,Art|History|Ethnography,1977,,www.stills.org,MACBA,MACBA,www.stills.org,,YES,1977,,"Letters, e-mails or other forms of correspondence|Photographs of the exhibition as installed|Video recordings of the exhibition as installed|Photographs of installation process|Press release materials (texts, photos, videos handed to the press)|Media clippings related to each exhibition|Final list of works or items exhibited in each show|Non-final versions of exhibition plans|Dissemination materials, printed or other: brochures, posters, invitation cards, video or tv advertisements, commercial radio slots, etc.|Book or catalogue issued on occasion of each exhibition|Draft materials for book or catalogue, i.e. non-final versions of texts, non-final versions of book layout, etc.|Condition reports of works or items exhibited, issued by Restauration experts|Insurance files related to each exhibition|Transport files related to each exhibition|Documents related to the educational activities programmed on occasion of each show|Records of visitors’ attendance to each show|Administrative documents, such as invoices, insurance certificates, contracts, etc.|Administrative documents, such as invoices, insurance certificates, contracts, etc.",Administration,"Cheryl Connell, programme@stills.org",Central archive,to provide a fact based history of cultural production,0.2,1977,,no,,yes,,8,,200,,,Archival description of records reaching the smallest units,
1339164653287.17,,Fri Jun 8 16:10:53 UTC+0200 2012,,Sørlandets Kunstmuseum,Norway,Kristiansand,Exhibition|Museum,Art,1995 museum without a building,2000- we moved in to permanent buildings for our permanent and temporary exhibitions,www.skmu.no,MACBA,MACBA,,,YES,1995- since the museum was established,,"Letters, e-mails or other forms of correspondence|Photographs of the exhibition as installed|Photographs of installation process|Press release materials (texts, photos, videos handed to the press)|Media clippings related to each exhibition|Final list of works or items exhibited in each show|Dissemination materials, printed or other: brochures, posters, invitation cards, video or tv advertisements, commercial radio slots, etc.|Book or catalogue issued on occasion of each exhibition|Condition reports of works or items exhibited, issued by Restauration experts|Insurance files related to each exhibition|Transport files related to each exhibition|Documents related to the educational activities programmed on occasion of each show|Records of visitors’ attendance to each show|Administrative documents, such as invoices, insurance certificates, contracts, etc.",Other:,randi@skmu.no,Other:,"The archive is a part of the museum history, and as a public museum we are obliged to have a complete documentation on our activity",20% job,"From 28. August 1995 to the present / not all is in sthe same state, but our intention is to have as good documentation as possible. ",Other:,,,,Exhibition number,14,Primus is the namae of the database we use for our collection,Aproximataly 2000,,,"Digitization of analogical records, and improvement of preservation policies (refreshing)",
1339166674023.43,,Fri Jun 8 16:44:34 UTC+0200 2012,,MAXXI museo delle arti del XXI secolo,Italy,Rome,Museum,Art|Other:,2010,2010,www.fondazionemaxxi.it; http://maxxisearch.fondazionemaxxi.it,MACBA,MACBA,,,YES,2006,,"Letters, e-mails or other forms of correspondence|Photographs of the exhibition as installed|Video recordings of the exhibition as installed|Photographs of installation process|Video recordings of installation process|Press release materials (texts, photos, videos handed to the press)|Media clippings related to each exhibition|Final list of works or items exhibited in each show|Drafts of work- or item- lists to be exhibited|Exhibition plans \""as built\""|Non-final versions of exhibition plans|Dissemination materials, printed or other: brochures, posters, invitation cards, video or tv advertisements, commercial radio slots, etc.|Book or catalogue issued on occasion of each exhibition|Draft materials for book or catalogue, i.e. non-final versions of texts, non-final versions of book layout, etc.|Condition reports of works or items exhibited, issued by Restauration experts|Insurance files related to each exhibition|Transport files related to each exhibition|Hanging files related to each exhibition|Documents related to the educational activities programmed on occasion of each show|Records of visitors’ attendance to each show|Administrative documents, such as invoices, insurance certificates, contracts, etc.",Other:,Giulia Pedace giulia.pedace@fondazionemaxxi.it,,"MAXXI Arte’s Archive of the Contemporary conserves, safeguards and makes available to the public the museum’s collections (MAXXI Art Collection, Documentation of the Contemporary Collection). The documentary collection comprises heterogeneous material on paper or digital supports, including press releases and press packs, invitations, flyers, pamphlets, posters, photographs and films produced in part by MAXXI and in part coming from artists and institutions. The material conserved is archived using EAM (Electronic Archive Management) and is available for consultation at the museum and on-line.
",2 persons,From 200 to present,Other:,no,On line catalogue or database,Yes: http://maxxisearch.fondazionemaxxi.it  for Archives;  http://opac.uniroma1.it/SebinaOpacRMS/Opac?sysb=RMSMX for books,ISAD . General International Standard Archivial description ,100,XDAMS,4500 UNITS; 20.000 RECORDS,,50%,"Digitization of analogical records, and improvement of preservation policies (refreshing)|Inclusion in the exhibition archive of internal documents related to the process of production","MAXXI would like to create a network of links with all the italian and international contemporary Archives that could be avalilable on line. The purpose is to crate an international standards for archivistical units as the book systyem did from a lot of time. 
"
1339402669685.41,,Mon Jun 11 2012 11:17:49 GMT+0300,,Museum of Contemporary Art Kiasma,Finland,Helsinki,Museum,Art,1990,,"www.kiasma.fi
www.fng.fi",N/A,N/A,,,YES,1990,,"Letters, e-mails or other forms of correspondence|Photographs of the exhibition as installed|Photographs of installation process|Press release materials (texts, photos, videos handed to the press)|Media clippings related to each exhibition|Final list of works or items exhibited in each show|Exhibition plans \""as built\""|Dissemination materials, printed or other: brochures, posters, invitation cards, video or tv advertisements, commercial radio slots, etc.|Book or catalogue issued on occasion of each exhibition|Condition reports of works or items exhibited, issued by Restauration experts|Insurance files related to each exhibition|Transport files related to each exhibition|Hanging files related to each exhibition|Documents related to the educational activities programmed on occasion of each show|Records of visitors’ attendance to each show|Administrative documents, such as invoices, insurance certificates, contracts, etc.",Archive,"The end archive of Kiasma\'s exhibition archives is the archive of the Finnish National Gallery, of which Kiasma is part of. This archive is located under the administrative office for the National Gallery.
More information on the Finnish National Gallery may be obtained from www.fng.fi
",Exhibition records,"The exhibition archives hold a varying selection of materials related to exhibition projects thru the years. 
The contents of every specific exhibition archive vary depending on the curator at charge of each project.
The archives hold correspondence, agreements, work lists, plans for installation, catalogue materials, images, background research material etc. etc.
The aim is to keep safe the material related to each exhibition project for future reference or for possible future research on Kiasma\'s exhibition history.","Curators (4 for temporary exhibitions, 3 for collections) create and maintain the exhibition archives before they move to the end archive. 
This is part of the normal curatorial work, but it is hard to pinpoint any percentage for the hours spent on this part of the job.
A document coordinator at the end archive of the National Gallery works full time with the archive.",1990 to the present,"Source or producer (dept, etc.)","We do have a classification chart for the whole National Gallery archive.
Availability of the chart for the consultation of Mela should be consulted directly with the document coordinator of the Finnish National Gallery, Ms. Taina Turpeinen (taina.turpeinen@fng.fi).",,"Kindly find more information on the Central Art Archives of the Finnish National Gallery here: http://www.fng.fi/caa

And specific information on certain parts of the archive collection here:
http://www.fng.fi/informationandresearch/archives

For further information on the archives of the Finnish National Gallery, kindly contact the Central Art Archives customer service at 
http://www.fng.fi/caacustomerservice",-,-,-,-,-,-,"Digitization of analogical records, and improvement of preservation policies (refreshing)",
1339425308017.52,,Mon Jun 11 16:35:08 UTC+0200 2012,,MoTA-Museum of Transitory Art,Slovenia,,Other:,Art,1992,,www.motamuseum.com,MACBA,MACBA,,,YES,1991,,"Letters, e-mails or other forms of correspondence|Photographs of the exhibition as installed|Press release materials (texts, photos, videos handed to the press)|Media clippings related to each exhibition|Final list of works or items exhibited in each show|Book or catalogue issued on occasion of each exhibition|Draft materials for book or catalogue, i.e. non-final versions of texts, non-final versions of book layout, etc.|Transport files related to each exhibition|Documents related to the educational activities programmed on occasion of each show|Administrative documents, such as invoices, insurance certificates, contracts, etc.",,"Martin Bricelj, martin.bricelj@gmail.com",Museum archive,"None works on the archive continuously. It is not the full time task, it requires approximately 10 hours per week.",,1991,Other:,"A classification chart: books, magazines, catalogues (= printed materials); blog, photos, videos, online publications (=online materials); press material, media archive,  printed materials: fliers, cards, posters, leaflets, brochures.",On line catalogue or database,yes,Mediatheque,5mx3m,A doc in GDrive,50,20%,80%,Dissemination online of contents of the exhibition archive,
1339427271325.77,,Mon Jun 11 17:07:51 UTC+0200 2012,,MUSEO PECHARROMAN,Spain,Pasarón de la Vera,Museum,Art,,1996,"www.museopecharroman.com
info@museopecharroman.com
",MACBA,MACBA,,,YES,1996,,"Letters, e-mails or other forms of correspondence|Photographs of the exhibition as installed|Video recordings of the exhibition as installed|Photographs of installation process|Video recordings of installation process|Press release materials (texts, photos, videos handed to the press)|Media clippings related to each exhibition|Final list of works or items exhibited in each show|Drafts of work- or item- lists to be exhibited|Exhibition plans \""as built\""|Non-final versions of exhibition plans|Dissemination materials, printed or other: brochures, posters, invitation cards, video or tv advertisements, commercial radio slots, etc.|Book or catalogue issued on occasion of each exhibition|Draft materials for book or catalogue, i.e. non-final versions of texts, non-final versions of book layout, etc.|Documents related to the educational activities programmed on occasion of each show|Records of visitors’ attendance to each show|Administrative documents, such as invoices, insurance certificates, contracts, etc.",Archive,Ricardo Pecharromán y Morales. info@museopecharroman.com,Central archive,"SECCION RESTRINGIDA.- Para investigadores, tanto los Archivos Generales de Exposiciones Temporales, como el Archivo Pecharromán. Solo se puede consultar en caso de investigaciones justificadas y con la autorización expresa de la Dirección de la Biblioteca. Actualmente se encuentran estos archivos en buen estado de conservación.
EL ARCHIVO PECHARROMAN. Lo compone la Fonoteca, Fototeca, Hemeroteca y Videoteca de la vida del artista, con 8.000 documentos, formados por:
Todo tipo de fotografías, diapositivas o imágenes fijas que estén vinculados con su vida, su época y producción artística.
Documentos sonoros en cualquier soporte o formato de entrevistas, programas, conferencias o actuaciones públicas tanto del artista como de su entorno que lo relacione.
Recortes de prensa sobre el pintor, relacionados con su vida artística, social, o de los entornos en que vivió.
Películas, videos, informativos de TV. y otros soportes animados que contengan imágenes o temas referenciados con su persona.
Mapas, planos o gráficos de las ciudades y lugares en los que residió o viajó el artista.
RESERVA.- En ella se protege los fondos especialmente valiosos. Atendiendo a su antigüedad o singularidad.
","Los archivos disponen de una persona encargada de su mantenimiento, en todo momento que sea necesario",From1996 / the present ,Other:,"Actualmente la Dirección de la Institución, está planificando la estructura de los campos de clasificación en Base de Datos.",Finding aid|Inventory|On line catalogue or database|Index|Other:,Todo está disponible para su consulta (exclusivamente en el Centro),Actualmente en proceso,42 metros lineales,En proceso,En proceso,Los registros se están digitalizando tan solo en línea se encuentran los disponibles en www.museopecharroman.con,"Se encuentra digitalizada la Fonoteca, Fototeca, Hemeroteca y Videoteca.","Dissemination online of contents of the exhibition archive|Archival description of records reaching the smallest units|Digitization of analogical records, and improvement of preservation policies (refreshing)|Inclusion in the exhibition archive of internal documents related to the process of production",
1339442884376.59,,Mon Jun 11 14:28:04 CDT 2012,,"Museum of Fine Arts, Houston",United States of America,Houston,Museum,Art,1900,1900 - ongoing,www.mfah.org,N/A,MACBA,,,YES,1902 -,,"Letters, e-mails or other forms of correspondence|Photographs of the exhibition as installed|Video recordings of the exhibition as installed|Photographs of installation process|Video recordings of installation process|Press release materials (texts, photos, videos handed to the press)|Media clippings related to each exhibition|Final list of works or items exhibited in each show|Drafts of work- or item- lists to be exhibited|Exhibition plans \""as built\""|Dissemination materials, printed or other: brochures, posters, invitation cards, video or tv advertisements, commercial radio slots, etc.|Book or catalogue issued on occasion of each exhibition|Draft materials for book or catalogue, i.e. non-final versions of texts, non-final versions of book layout, etc.|Condition reports of works or items exhibited, issued by Restauration experts|Insurance files related to each exhibition|Transport files related to each exhibition|Documents related to the educational activities programmed on occasion of each show|Records of visitors’ attendance to each show|Administrative documents, such as invoices, insurance certificates, contracts, etc.",Archive,"Lorraine A. Stuart, CA
archives@mfah.org",Museum archive,,"Of 5.5 staff members, 1.0 catalogs born-digital exhibition photography; ~1.0 digitizes analog exhibition photography; <.5 parses data from collection managment system for inclusion in web db; <.5 processes analog records; .5 responds to research requests regarding exhibition records and accessions exhibition records; Total 2.5 - 3.0",1902 present,"Source or producer (dept, etc.)",,Finding aid|On line catalogue or database,http://prv.mfah.org/archives/search.asp?par1=1&par2=1&par3=1&par4=1&par5=1&par6=1&par7,DACS and AACR2,275 linear feet processed,WorldCat and custom EAD compliant db,14,< 1%,< 2%,Other:,"Exhibition records from 1900-1923 are filed with Record Group 19, Houston Art League records"
1339588097540.84,,Wed Jun 13 2012 13:48:17 GMT+0200 (Central Europe Daylight Time),,Museum of Applied Art,Serbia,Belgrade,Museum,Art|History,,,www.mpu.rs,MACBA,MACBA,,,YES,1952,,"Letters, e-mails or other forms of correspondence|Photographs of the exhibition as installed|Video recordings of the exhibition as installed|Press release materials (texts, photos, videos handed to the press)|Media clippings related to each exhibition|Dissemination materials, printed or other: brochures, posters, invitation cards, video or tv advertisements, commercial radio slots, etc.|Book or catalogue issued on occasion of each exhibition|Documents related to the educational activities programmed on occasion of each show|Records of visitors’ attendance to each show",Department for Central Documentation,srdjan.rakonjac@mpu.rs,Professional Archive Department,"Documentation on exhibitions and all other professional events, together with the history of the Museum, are kept in the Professional Archive Department. Following a system of classification by subject, this information makes a systematic survey of the Museum’s holdings and its history a much easier task, while at the same time allowing an overview of all illustrative materials produced for all the exhibitions that the Museum has organised.
          In view of the enormous variety of these exhibitions, they are divided into four basic groups:

-	exhibitions of items from the Museum of Applied Art
-	exhibitions by Serbian artists
-	foreign exhibitions
-	other exhibitions 

Each of these groups has its own file, which is set aside in the registers in chronological order, one after the other, Exhibition files must contain comprehensive information on the exhibition and accompanying materials such as: invitation cards, posters, catalogues, press releases, and photographs of the mounting and opening of the exhibition.",Only one,From 1952 to the present,"Source or producer (dept, etc.)",No,Inventory|Index,No,Rules for Archival Description,40,Excell ,1049,11%,11%,"Digitization of analogical records, and improvement of preservation policies (refreshing)",
